Story Code,Annotator #1 Code,Annotator #2 Code,Story Title,Plot Summary,Content warnings,Author Code,Second author code (if applicable),Investigation-reveal order,Reveal border sentence,Name of Detective #1,Detective #1 Gender,Detective #1 Role,Name of Detective #2,Detective #2 Gender,Detective #2 Role,Number of detectives if more than 2,Name of Assistant #1,Assistant #1 Gender,Assistant #1 Role,Name of Assistant #2,Assistant #2 Gender,Assistant #2 Role,Number of assistants if more than 2,Number of victims of gender Male,Number of victims of gender Female,Number of victims of gender Non-binary,Number of victims of gender Unknown,Number of victims who are corporate entities,Number of culprits of gender Male,Number of culprits of gender Female,Number of culprits of gender Non-binary,Number of culprits of gender Unknown,Culprits introduced during reveal?,Main culprit independence,Initiator of investigation,Role of police,Focus on crime or quasi-crime,Crime trajectory,Occurrence of crime or mystery,Types of qrimes,Motives,Means (murder only),Sufficient clues to guess?,Sufficient clues to solve?,Correct annotator guess?,Types of clues,Essential clue,Type of essential clue,Most salient clue,Type of most salient clue,Red herring description,Type of red herring,Presence of planted or fabricated evidence,Types of evidence made available,Is the crime solved?,Decision NOT to alert authorities?,Satisfying narrative account?,How satisfying as detective fiction?,Recommend to friend?,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book
MSH10,SO,CC,The Naval Treaty,"An important Naval document is seemingly stolen from the man in charge of copying it, leaving him in a state of dismay for nine long weeks. Just who stole the document and how did this theft happen?",,ACD,,Standard,"Phelps raised the cover, and as he did so he uttered a scream, and sat there staring with a face as white as the plate upon which he looked.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,1,0,0,0,1,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Theft, Assault",Greed,,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",The burglar breaking in only on the day when the nurse was absent,Testimonial clue,The relatives of Phelps being shown around the office,Testimonial clue,The description of the commissionaire's wife (her presence at the scene),Testimonial clue,,"Testimonial evidence, Physical evidence",Yes,No,No,3,Yes,1893-11,Journal,The Strand
MSH11,SO,CC,The Final Problem,"After he is almost killed on three separate occasions, Sherlock Holmes must face his would-be murderer in an elaborate adventure involving a criminal mastermind, his trustworthy partner Watson, and an intense final standoff.",,ACD,,Other,"It may be remembered that after my marriage, and my subsequent start in private practice, the very intimate relations which had existed between Holmes and myself became to some extent modified.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,2,0,0,0,0,1,0,0,0,,Acts on behalf of a crime syndicate,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Blackmail, Forgery","Pride, Crime-for-crime's-sake",Unknown,No,No,No,"Illegible and never usable (illegible → never usable), Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The Letter calling for Watson's assistance,Physical clue,The attempted murders of Sherlock Holmes,Testimonial clue,,,,"Testimonial evidence, Physical evidence",No,No,No,1,Yes,1893-12,Journal,The Strand
RSH01,SO,CC,The Adventure of the Empty House,"A man is killed with no apparent motive or suspect, but new information arises with the reappearance of Sherlock Holmes.",,ACD,,Standard,"We had all risen to our feet, our prisoner breathing hard, with a stalwart constable on each side of him.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,2,0,0,0,0,1,0,0,0,No,Acts alone,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,"Before the investigation, During the investigation","Murder, Blackmail, Breaking and entering","Greed, Revenge",Firearm,No,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The wax figure of Holmes being shot,Physical clue,The type of bullet found at the crime scene,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,1903-09,Journal,Collier's Weekly
ASH04,SO,WW,The Boscombe Valley Mystery,"Sherlock Holmes and John Watson arrive at Boscombe Valley to investigate the seemingly unambiguous murder of a father by his son. Though all circumstantial evidence points towards the son, deeper histories and resentments are at work. ",,ACD,,Standard,"“Look here, Watson,” he said when the cloth was cleared “just sit down in this chair and let me preach to you for a little.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,8,0,0,0,1,7,0,0,0,No,Acts alone,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Murder, Theft, Blackmail","Revenge, Love, Pride","Firearm, Blunt force trauma",Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",Footprints with the limp,Physical clue,Longstanding relationship between Charles McCarthy and John Turner (esp. Australia connection),Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,Yes,1891-10,Journal,The Strand
MSH07,SK,WW,The Crooked Man,"Colonel Barclay is found dead in a locked room, his wife insensible and the room key missing. Though the couple is supposedly the paragon of marital harmony, the servants report an argument right before the death, and accusations surrounding the name “David.”",,ACD,,Standard,It was a just providence that killed him.,Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,1,1,0,0,0,1,0,0,0,No,,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",_none,Qrime → no qrime,Before the investigation,"Suspected murder, Fraud, Assault, Kidnapping","Revenge, Jealousy","Natural causes, Accident",No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable)","The missing key, which signals a third party in the room.",Physical clue,Barclay's devotion to his wife and uneasiness at her absence.,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1893-07,Journal,The Strand
MSH08,SK,WW,The Resident Patient,"A cataleptic Russian count and his son consult Dr. Percy Trevelyan’s practice, suddenly making the doctor’s live-in sponsor unaccountably nervous. What history could be behind this suspicious reaction?",,ACD,,Standard,"This is no suicide, Mr. Lanner.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,1,0,0,0,1,5,0,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,No qrime → qrime,During the investigation,"Murder, Theft, Fraud, Breaking and entering",Revenge,Asphyxiation,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)","There are multiple different types of cigar ends in the victim's room, indicating multiple people present at the time of his death.",Physical clue,The victim's overly frightened reaction to footsteps in his room.,Testimonial clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1893-08,Journal,The Strand
MSH09,SK,WW,The Greek Interpreter,"At the Diogenes Club, a frequent haunt of Sherlock Holmes’ older brother Mycroft, a Greek interpreter regales Holmes and Watson with the story of an emaciated and bandaged man kept prisoner in a London house. ",,ACD,,Standard,They seize him and use violence towards him in order to make him sign some papers to make over the girl's fortune—of which he may be trustee—to them. ,Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,2,1,0,0,0,2,0,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Theft, Fraud, Blackmail, Kidnapping, Assault","Greed, Revenge",Poison,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",The hidden questions and answers between the interpreter and the kidnapped man.,Testimonial clue,The hidden questions and answers between the interpreter and the kidnapped man.,Testimonial clue,,,,Testimonial evidence,Yes,No,Yes,2,No,1893-09,Journal,The Strand
MSH04,ZC,JM,The “Gloria Scott”,"A series of unexpected occurrences, such as the unexpected visitation of old acquaintances and the arrival of vague letters through the post, begins to unravel the health of Mr. Trevor. In hopes that certain truths can come to llight, his son reaches out to Sherlock Holmes.",,ACD,,Standard,"“‘My dear, dear son, now that approaching disgrace begins to darken the closing years of my life, I can write with all truth and honesty that it is not the terror of the law, it is not the loss of my position in the county, nor is it my fall in the eyes of all who have known me, which cuts me to the heart; but it is the thought that you should come to blush for me—you who love me and who have seldom, I hope, had reason to do other than respect me.""",Sherlock Holmes,Male,Independent amateur,,,,,,,,,,,,83,0,0,0,0,74,0,0,0,Yes,Acts alone,A private client,Police are not present,Crime,No qrime → qrime,Before the investigation,"Murder, Theft, Fraud, Blackmail, Assault","Greed, Revenge, Pride","Knife/sword, Firearm, Natural causes, Accident, Explosives, Other",No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Letter from the father to his son explaining his past,Physical clue,Strange behaviour of father after his encounters with Hudson ,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1893-04,Journal,The Strand
MSH06,ZC,JM,The Reigate Puzzle,"In hopes that Holmes will relax and recover from his depression, Watson brings him to the countryside, where a theft followed by murder in the neighbourhood piques the detective's curiosity.",,ACD,,Standard,"I dashed in, and on into the dressing-room beyond.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,2,0,0,0,0,2,0,0,0,No,Acts together with one or more equal partners,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,Before the investigation,"Murder, Blackmail, Assault, Theft, Breaking and entering",Pride,Firearm,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Finding the remaining parts of paper inside Cunningham’s pocket,Physical clue,Small piece of note found in William’s hand,Physical clue,,,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,1893-06,Journal,The Strand
MSH05,ZC,JM,The Musgrave Ritual ,"After the sudden disappearance of the womanizing butler and the temperamentally excitable second housemaid of the Musgraves, Reginald Musgrave reachs out to Sherlock Holmes in the hopes of finding answers.",,ACD,,Standard,I sat down upon a keg in the corner and thought the whole matter carefully over.,Sherlock Holmes,Male,Independent amateur,,,,,,,,,,,,2,0,0,0,0,1,1,0,0,No,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,No qrime → qrime,Before the investigation,"Murder, Theft","Greed, Revenge, Jealousy","Asphyxiation, Natural causes, Other",Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","The clues hidden in the Musgrave Ritual document, which lead to the finding of the cellar",Physical clue,Behaviour of Rachel Howells (The second house-maid),Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,1893-05,Journal,The Strand
ASH03,SK,JM,A Case of Identity,"Miss Sutherland asks Sherlock Holmes to find the man she was supposed to marry, who mysteriously disappeared on their wedding day after making her promise to never forget him. The disappearing bridegroom as well as Miss Sutherland's stepfather are both not what they seem to be.",,ACD,,Standard,"“I let you know, then, that I have caught him!”",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,0,1,0,0,0,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Quasi-crime,Qrime → different qrime,Before the investigation,"Suspected murder, Fraud",Greed,,Yes,Yes,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",the particularities of the typewriter,Physical clue,The fact that Mr. Hosmer Angel and Mr. Windibank were never at the same place at the same time,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,No,1891-09,Journal,The Strand
RSH08,SO,JM,The Six Napoleons,"Sherlock Holmes investigates the mysterious busting of a set of Napoleon busts belonging to a peculiar group of people. Not only is there burglary, but theft! Murder! The Mob!",,ACD,,Standard,"“Gentlemen,” he cried, “let me introduce you to the famous black pearl of the Borgias.”",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,5,1,0,0,0,2,1,0,0,Yes,Acts alone,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Theft, Mischief, Breaking and entering",Greed,Knife/sword,Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Beppo was a skilled sculptor,Testimonial clue,All Napoleon busts were produced in the factory where Beppo worked,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,1904-05,Journal,The Strand
RSH09,SO,JM,The Three Students,A university nightmare! Someone looked at the test answers for a Greek exam as part of a scholarship! The culprit is one of three students living with their professor.,racism,ACD,,Standard,"Perhaps it would be easier for you if I were to tell Mr. Soames what occurred, and you can check me where I am wrong.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,1,0,0,0,0,2,0,0,0,No,Acts mostly alone with some assistance,A private client,Police are not present,Quasi-crime,Qrime → same qrime,Before the investigation,"Theft, Breaking and entering",Greed,,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",Cleats markings,Physical clue,Black clay balls,Physical clue,The demeanor of the Indian,Testimonial clue,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1904-06,Journal,The Strand
RSH10,SO,JM,The Golden Pince-Nez,The professor's assistant is found dead. Pince-nez is found in his hand. Sherlock Holmes investigates this mysterious murder! Are there Russians involved?,,ACD,,Standard,"Meanwhile I will reconstruct what is past for your benefit, so that you may know the information which I still require.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,2,1,0,0,0,1,1,0,0,Yes,Acts on behalf of a crime syndicate,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Murder, Theft, Blackmail, Breaking and entering","Revenge, Ideology","Poison, Knife/sword",No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",Scratches in the Chubb's lock,Physical clue,Golden pince-nez,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,1904-07,Journal,The Strand
RSH02,ZC,WW,The Norwood Builder,"Jonas Oldacre, a wealthy builder, disappears in a fire at his estate. All evidence points towards John McFarlane, a young solicitor to whom Oldacre had recently named as the sole beneficiary of his will. The evidence is unambiguous—but perhaps too unambiguous.  ",,ACD,,Standard,Only that there is an important witness whom you have not seen.,Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,1,0,0,0,0,1,1,0,0,No,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,"Before the investigation, During the investigation","Murder, Suspected murder, Fraud, Mischief","Greed, Revenge",,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)","The addition of the suspect John McFarlane’s bloodied thumbprint at the scene of the crime, which had not been there during the initial survey of the crime scene. ",Physical clue,The thumbprint; same as essential clue. ,Physical clue,,,"Planted, Fabricated","Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,1903-11,Journal,The Strand
RSH03,ZC,WW,The Dancing Men,Country squire Hilton Cubitt requests the aid of Holmes in decoding a series of messages drawn in chalk around his estate. These sequences of hieroglyphic dancing men symbols may be connected to his wife Elsie Patrick’s mysterious past in America.  ,,ACD,,Standard,I think that I can help you to pass an hour in an interesting and profitable manner,Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,1,1,0,0,0,1,0,0,0,Yes,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,No qrime → qrime,"Before the investigation, During the investigation","Murder, Blackmail, Assault, Mischief","Revenge, Jealousy, Self-defence",Firearm,No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",The messages of the dancing men and Holmes’ decryption of them. ,Physical clue,Elsie Patrick’s anxious reaction to the appearance of the dancing men symbols.  ,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1903-12,Journal,The Strand
